[('58.56.149.198', '53281', '山东青岛', 'HTTPS')]
[('117.88.4.114', '3000', '江苏南京', 'HTTPS')]
[('121.237.148.145', '3000', '江苏南京', 'HTTPS')]
[('117.88.176.21', '3000', '江苏南京', 'HTTP')]
[('121.237.148.111', '3000', '江苏南京', 'HTTP')]
[('120.11.132.242', '8118', '河北沧州', 'HTTP')]
[('117.88.176.190', '3000', '江苏南京', 'HTTPS')]
[('121.237.149.212', '3000', '江苏南京', 'HTTP')]
[('117.88.5.180', '3000', '江苏南京', 'HTTP')]
[('222.95.144.19', '3000', '江苏南京', 'HTTP')]
[('117.88.176.248', '3000', '江苏南京', 'HTTP')]
[('121.237.149.4', '3000', '江苏南京', 'HTTPS')]
[('101.231.104.82', '80', '上海', 'HTTP')]
[('121.237.148.12', '3000', '江苏南京', 'HTTP')]
[('222.95.240.91', '3000', '江苏南京', 'HTTP')]
[('121.237.149.90', '3000', '江苏南京', 'HTTPS')]
[('117.88.4.143', '3000', '江苏南京', 'HTTP')]
[('117.88.5.210', '3000', '江苏南京', 'HTTP')]
[('117.88.4.33', '3000', '江苏南京', 'HTTP')]
[('121.237.148.13', '3000', '江苏南京', 'HTTP')]
[('117.88.5.244', '3000', '江苏南京', 'HTTP')]
[('222.95.144.152', '3000', '江苏南京', 'HTTPS')]
[('121.237.148.255', '3000', '江苏南京', 'HTTP')]
[('117.88.177.83', '3000', '江苏南京', 'HTTPS')]
[('117.88.5.175', '3000', '江苏南京', 'HTTPS')]
[('121.237.148.201', '3000', '江苏南京', 'HTTP')]
[('222.95.144.186', '3000', '江苏南京', 'HTTP')]
[('117.88.176.249', '3000', '江苏南京', 'HTTP')]
[('117.88.177.204', '3000', '江苏南京', 'HTTP')]
[('117.88.5.141', '3000', '江苏南京', 'HTTP')]
[('121.237.149.124', '3000', '江苏南京', 'HTTP')]
[('117.88.177.17', '3000', '江苏南京', 'HTTPS')]
[('117.88.176.48', '3000', '江苏南京', 'HTTPS')]
[('27.154.34.146', '31527', '福建厦门', 'HTTPS')]
[('121.237.148.9', '3000', '江苏南京', 'HTTP')]
[('183.167.217.152', '63000', '安徽滁州', 'HTTP')]
[('117.88.177.144', '3000', '江苏南京', 'HTTPS')]
[('117.88.4.150', '3000', '江苏南京', 'HTTP')]
[('222.95.241.213', '3000', '江苏南京', 'HTTP')]
[('117.88.5.29', '3000', '江苏南京', 'HTTP')]
[('117.88.5.162', '3000', '江苏南京', 'HTTPS')]
